RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
101,20022486,Wilson,720,Germany,Female,39,7,119349.69,2,0,1,88279.6,0
102,20011102,Kennedy,818,France,Female,50,0,99836.47,2,1,1,193437.89,0
103,20016207,Ferri,676,France,Male,22,5,143773.07,1,1,1,51308.54,0
104,20013098,Ruiz,565,France,Female,34,4,127801.88,1,0,1,70196.23,0
105,20011995,Wofford,748,Germany,Female,29,7,105736.32,2,1,1,178373.93,0
106,20019569,Bellucci,741,Germany,Male,28,8,152496.82,1,1,0,122022.89,0
107,20021646,Chia,684,Spain,Male,36,6,0.0,2,1,1,100816.29,0
108,20006124,Green,490,France,Male,43,5,122773.5,1,1,0,66013.27,0
109,20022899,Mills,694,France,Female,34,5,114931.35,1,1,1,123613.81,0
110,20005983,Manna,826,Germany,Male,42,8,80764.03,1,0,1,57992.49,0
111,20024716,Wilkinson,495,Germany,Male,37,9,72252.64,2,0,0,80344.96,0
112,20004029,Liang,718,Germany,Female,22,3,68639.57,1,1,1,28690.9,0
113,20018948,Mitchell,543,Spain,Male,37,8,121192.22,2,1,1,163504.33,0
114,20004438,Fu,670,France,Female,46,5,115897.12,1,1,0,20510.79,0
115,20015494,Storey,601,France,Male,18,9,148326.09,1,1,0,163365.85,0
116,20020982,Kazantseva,518,France,Female,28,5,113110.26,1,1,0,178997.89,0
117,20001855,Thomas,850,France,Male,51,10,0.0,2,1,0,3554.63,0
118,20010150,Cawker,535,Germany,Male,54,8,0.0,1,1,0,57549.65,0
119,20000190,Ferrari,566,Spain,Female,31,7,0.0,1,0,1,149550.95,0
120,20004138,Shaw,761,Spain,Male,51,7,146580.69,2,1,1,48505.1,0
121,20009674,Kang,557,France,Male,37,3,101257.16,2,1,1,861.4,1
122,20011927,Olisaemeka,668,Spain,Female,56,2,92041.87,1,1,1,114675.75,0
123,20019555,T'ang,607,France,Female,18,9,152328.88,2,0,1,133122.62,0
124,20011314,Ross,796,Spain,Male,35,5,0.0,1,1,0,164038.07,0
125,20007109,Dale,590,Germany,Male,51,9,136214.08,1,1,0,9087.81,0
126,20016648,Millar,711,Spain,Female,26,0,109137.12,2,1,1,113907.8,0
127,20016389,Sims,702,Spain,Male,49,9,100549.43,2,0,1,116286.25,0
128,20003104,Hs?,729,Spain,Male,52,8,0.0,2,1,0,62811.03,0
129,20015331,Pirozzi,581,Germany,Female,50,6,116662.96,1,1,0,104492.83,0
130,20004112,Voss,740,France,Female,49,10,0.0,1,0,1,27411.19,0
131,20008400,Nikitina,647,France,Female,37,2,124125.26,2,1,1,130827.88,1
132,20000449,Solomina,589,Germany,Male,28,2,0.0,1,0,0,60151.77,0
133,20010872,Patrick,733,Spain,Male,33,0,125023.1,2,0,1,137402.27,0
134,20010404,Han,726,Germany,Male,30,2,96106.83,2,1,1,122305.91,0
135,20011384,Riley,821,France,Male,42,1,0.0,1,1,1,162697.93,1
136,20009711,Nnonso,660,France,Male,47,5,0.0,1,0,0,180598.66,0
137,20005806,Lei,714,Germany,Female,48,8,0.0,1,1,1,169952.82,0
138,20022824,Landry,751,France,Male,47,5,164450.94,2,1,1,57572.38,0
139,20003724,Nucci,443,Germany,Female,72,6,129335.65,2,0,1,129590.18,0
140,20004250,Pai,547,France,Female,39,6,0.0,2,1,1,183515.13,0
141,20024827,Landry,600,France,Male,35,4,46161.18,1,0,0,195053.58,0
142,20000554,Somerville,850,Germany,Female,46,5,0.0,1,1,0,72927.68,1
143,20010568,Chikelu,679,France,Female,33,9,133313.34,1,1,0,39830.1,1
144,20022512,Marcelo,824,Spain,Male,39,8,170600.78,2,0,1,90558.24,0
145,20024811,Dennis,707,Germany,Female,35,7,0.0,1,1,1,160346.3,0
146,20002140,Milano,579,Spain,Female,22,3,100628.0,1,0,1,141137.53,0
147,20020637,Hill,621,France,Female,41,6,114027.7,2,1,1,119259.34,0
148,20011931,Colombo,679,Germany,Male,37,6,118079.47,2,1,1,120834.48,0
149,20012849,Alekseeva,560,Spain,Female,26,4,123180.01,2,1,1,122134.56,0
150,20018599,Gibson,692,France,Male,30,7,135120.56,1,0,0,120037.36,0
151,20020614,Henderson,657,Spain,Male,31,0,0.0,1,1,0,115676.61,0
152,20001076,Yao,746,Spain,Female,41,1,0.0,2,1,1,70007.67,0
153,20009611,Kharlamov,748,Germany,Male,18,7,157320.51,1,1,0,44335.54,0
154,20024750,Watson,667,France,Male,37,3,158719.57,2,1,1,112542.58,0
155,20023627,Mason,775,France,Female,32,5,0.0,2,1,0,140134.43,0
156,20018480,Omeokachie,850,Germany,Male,55,4,96654.72,1,1,1,33964.03,0
157,20014138,Todd,850,France,Male,38,9,132187.73,1,1,0,43024.64,1
158,20007645,Wang,694,Spain,Male,31,8,163146.46,1,0,1,17696.22,0
159,20024080,Swaim,665,France,Female,32,8,149564.61,1,0,0,85516.37,0
160,20023164,Avdeeva,671,France,Male,64,1,142767.39,1,1,1,76038.38,0
161,20018761,Toscano,575,Spain,Male,42,1,0.0,2,1,0,110299.78,0
162,20019802,Konovalova,591,Germany,Female,43,7,0.0,2,1,1,107825.08,0
163,20015009,Powell,738,Germany,Male,31,5,114713.57,2,1,1,187800.63,0
164,20004644,Otitodilinna,490,France,Female,46,9,0.0,2,1,0,162760.96,0
165,20013956,Hughes,649,Spain,Male,37,9,98759.89,2,0,1,79240.9,0
166,20014360,Nicoll,757,France,Male,25,5,0.0,2,1,1,128881.87,0
167,20023731,Grant,616,France,Male,30,1,141234.98,1,1,1,129333.69,0
168,20007591,Pickering,504,France,Male,30,3,0.0,2,1,0,136859.55,1
169,20005298,Barese,699,Germany,Male,40,7,0.0,2,1,0,149682.78,1
170,20013271,Arnold,478,France,Male,48,8,133853.27,1,0,1,46369.57,0
171,20011872,Randall,673,Germany,Female,40,6,73023.17,2,0,0,53294.17,0
172,20018479,Vinogradoff,625,France,Male,32,1,103471.52,1,1,1,72350.17,1
173,20023035,Azuka,661,Spain,Female,40,2,0.0,2,0,1,158887.09,0
174,20001093,Chao,482,Germany,Female,34,6,0.0,1,1,0,116971.05,1
175,20002393,Hs?eh,814,Germany,Female,22,0,138241.9,3,1,0,27431.62,0
176,20002525,Clapp,706,Germany,Female,55,3,111395.53,1,1,0,47318.75,0
177,20021044,Scott,618,Germany,Male,41,7,95452.89,2,0,0,48545.1,0
178,20006400,Ch'ien,805,France,Female,28,7,124053.03,1,1,0,56055.72,1
179,20004323,Hung,800,Spain,Female,58,8,0.0,1,0,0,93336.93,0
180,20009837,Wallace,558,France,Female,26,2,115062.61,2,1,0,94450.97,0
181,20008086,Murray,444,France,Female,47,3,129502.49,2,0,1,80130.54,0
182,20010020,Palmer,552,France,Male,36,9,125141.24,1,1,1,191870.28,0
183,20021460,Onio,617,France,Female,53,4,96748.89,1,1,1,94823.95,0
184,20016427,Ibekwe,764,France,Male,44,0,0.0,2,1,0,68143.93,0
185,20008919,Lai,648,France,Female,46,4,93173.88,2,1,0,21439.49,1
186,20006267,Becker,678,Spain,Male,44,1,141789.15,1,0,0,28434.44,0
187,20005967,McDonald,563,France,Male,51,8,0.0,1,1,1,136620.64,0
188,20002093,Shephard,753,France,Male,30,8,0.0,2,1,0,31928.5,0
189,20007172,Ni,601,France,Male,47,7,86006.3,2,1,0,161888.63,0
190,20001566,Chibugo,636,France,Female,40,7,0.0,1,1,1,36540.63,0
191,20006387,Chung,800,Germany,Female,49,6,116309.01,1,0,1,149369.41,0
192,20008307,Townsley,632,France,Male,37,7,103846.65,2,1,1,193179.88,0
193,20003473,Golovanov,654,France,Male,67,6,0.0,1,1,0,164128.58,0
194,20005881,Chijindum,667,Germany,Male,39,2,89928.99,1,0,0,16287.38,0
195,20022790,Zikoranachidimma,644,France,Male,27,2,104255.03,2,0,0,30781.77,0
196,20014760,Major,621,Spain,Male,27,4,108128.52,1,0,0,76169.68,0
197,20018358,Hao,671,France,Female,46,7,99027.61,1,0,1,166896.01,0
198,20021967,Chiefo,680,France,Male,62,8,130786.92,2,1,0,91406.62,0
199,20006563,James,647,France,Female,57,6,0.0,2,0,0,155248.62,0
200,20021370,Sutherland,663,Germany,Male,23,3,71872.19,2,1,0,92977.75,0
201,20020650,Ugorji,631,France,Male,38,9,150842.93,2,1,1,166324.79,0
202,20002358,Yu,656,Germany,Female,40,9,153545.11,2,1,0,127827.18,1
203,20003439,Trevisano,640,France,Female,47,7,139480.18,2,1,0,158580.05,0
204,20012563,Topp,574,Spain,Female,47,3,160376.61,2,1,1,52332.85,1
205,20006113,Terry,701,France,Female,37,7,0.0,1,1,1,106918.67,1
206,20023947,Folliero,536,Spain,Female,41,1,173962.32,1,0,0,85736.26,1
207,20013177,Ross,697,France,Female,42,7,144684.03,2,1,0,77864.41,0
208,20021881,Yudina,786,France,Male,18,9,134504.78,2,0,0,98349.13,0
209,20006966,Chinomso,671,France,Male,35,10,193354.86,2,1,0,48571.14,0
210,20000666,Yen,682,Germany,Male,33,4,0.0,2,1,1,83008.49,0
211,20011475,Coles,792,Germany,Male,34,3,58469.37,2,1,0,158408.23,0
212,20014095,Chukwuemeka,701,Germany,Male,18,4,118214.32,1,1,0,72929.96,0
213,20017126,MacDonald,577,France,Female,38,0,85646.81,2,1,1,124341.49,0
214,20000689,Munro,666,France,Female,32,1,121438.58,1,1,1,183021.06,1
215,20024366,Chienezie,592,France,Female,46,1,0.0,1,1,1,183044.86,0
216,20009833,Holmes,683,Spain,Female,39,8,147650.68,1,1,1,60739.16,0
217,20017098,Moore,614,France,Female,44,9,91286.51,1,0,0,132295.95,0
218,20004306,Hawkins,661,France,Female,39,1,150148.51,1,1,0,178045.97,0
219,20012726,North,650,Spain,Female,24,7,114354.95,2,1,0,63185.05,1
220,20020652,Mancini,664,Germany,Male,55,2,0.0,2,1,1,198030.24,0
221,20004321,Watson,630,France,Male,43,7,0.0,2,1,1,130260.11,1
222,20008281,Lane,623,France,Female,42,1,107362.8,1,1,0,878.87,0
223,20014823,Ho,534,Germany,Male,34,4,0.0,1,1,0,144039.05,0
224,20010713,Shaw,747,Germany,Female,20,7,0.0,1,1,0,50610.62,0
225,20016004,Costa,470,France,Female,41,9,0.0,1,1,1,55119.53,0
226,20002428,Vinogradova,676,Germany,Male,28,7,98612.1,1,1,1,133537.53,0
227,20023397,Ugoji,607,Spain,Male,42,3,0.0,1,0,1,176403.33,1
228,20011595,Zhirov,657,Spain,Female,44,10,0.0,2,1,1,19283.14,0
229,20011105,Chin,688,France,Female,53,4,136650.89,2,1,0,5075.17,0
230,20018333,Okonkwo,672,Germany,Male,20,1,0.0,2,1,1,78698.09,0
231,20024473,Hanson,641,France,Female,46,7,97338.19,2,1,0,27597.76,0
232,20020668,Murray,803,France,Female,37,1,86824.09,2,1,1,74260.16,0
233,20020819,Seabrook,662,Spain,Female,39,5,164307.77,2,1,1,10908.33,0
234,20015962,Outtrim,676,France,Female,26,3,0.0,2,1,1,193724.51,0
235,20015199,H?,565,France,Female,18,7,120165.4,2,1,0,63732.9,0
236,20013916,Onio,736,Spain,Female,33,10,0.0,2,0,1,186438.86,0
237,20023664,Manfrin,587,Germany,Female,42,4,130701.29,1,0,0,74287.53,0
238,20015981,Enderby,760,France,Male,39,1,0.0,1,1,1,139451.98,0
239,20014142,Pugh,587,Germany,Male,26,10,99806.85,2,0,1,123663.63,0
240,20021802,Lorenzo,708,Spain,Male,41,6,116498.22,1,1,1,76569.64,0
241,20006276,Galkin,653,Spain,Male,24,1,146301.31,1,1,1,166164.3,0
242,20008605,Padovano,472,France,Male,31,3,109508.68,2,0,0,143450.61,0
243,20006399,Sergeyeva,489,Spain,Male,50,6,128015.83,1,1,0,56897.1,0
244,20018460,Gallo,752,France,Female,33,6,110150.43,1,1,0,121239.65,0
245,20014105,Ifesinachi,795,Spain,Female,33,8,0.0,1,0,0,182025.95,0
246,20016873,Micklem,581,Spain,Female,21,3,147171.2,1,1,0,125083.29,0
247,20009937,McIntyre,657,Germany,Male,40,10,56674.48,1,0,0,107973.44,0
248,20006718,Hsia,781,France,Male,28,3,95010.92,1,0,1,104469.06,0
249,20022762,Tsui,506,Spain,Female,46,7,143267.14,2,1,1,10712.82,0
250,20023241,Mahon,657,France,Female,40,3,56084.69,1,1,0,71682.54,0
251,20002204,Chung,480,Spain,Male,29,5,140752.06,1,1,1,148584.61,0
252,20001667,Nweke,667,Spain,Male,30,1,116234.61,1,1,0,1299.75,1
253,20018975,Quinones,714,Spain,Male,29,9,152603.45,2,1,0,31448.52,0
254,20012273,He,547,Spain,Male,51,0,121325.84,2,1,1,61623.19,0
255,20024718,Parkin,685,Germany,Male,46,0,137687.72,2,1,1,137173.39,0
256,20005040,Pai,761,Germany,Female,49,2,0.0,2,0,1,198969.78,1
257,20023885,Duncan,690,France,Male,38,3,127536.44,2,1,0,138465.7,1
258,20011156,Kennedy,671,France,Male,18,4,89939.62,1,1,1,127560.77,0
259,20020006,Lori,792,France,Female,37,8,100946.71,2,0,1,17298.72,0
260,20008325,Tsou,466,France,Male,20,5,112372.96,1,0,0,937.15,1
261,20002746,Turnbull,566,France,Male,44,5,0.0,1,1,1,135394.62,1
262,20016695,Butcher,798,Germany,Female,33,7,129398.01,1,1,0,117977.45,0
263,20015669,Frost,716,France,Male,34,0,147069.78,2,1,1,123096.56,1
264,20018413,Watson,694,Spain,Female,41,2,107508.93,1,0,0,39016.43,1
265,20007359,Caldwell,510,France,Male,46,9,82083.52,1,1,1,104000.06,0
266,20024027,Y?,646,Germany,Male,23,10,68423.89,1,1,1,132295.95,1
267,20022802,Bearce,685,Germany,Female,36,3,149379.66,1,0,0,104120.17,0
268,20024247,King,576,France,Female,39,10,0.0,2,1,0,118711.75,0
269,20004543,Carter,693,Spain,Male,53,8,165282.42,2,1,1,173197.12,0
270,20006043,Frolov,770,Spain,Male,46,7,118577.24,1,1,1,143265.65,0
271,20012102,Lucchesi,540,Germany,Male,42,9,0.0,1,0,1,65532.17,0
272,20001148,Edwards,634,Spain,Female,45,2,0.0,2,1,1,103970.58,0
273,20023090,Fan,718,Germany,Female,25,5,97560.16,1,1,1,88783.59,0
274,20013308,Sandefur,734,Spain,Female,43,2,91057.37,1,0,1,141400.51,0
275,20024789,Genovese,557,France,Female,45,10,0.0,2,0,1,131970.86,0
276,20008925,Garnsey,761,France,Male,31,7,96863.13,1,1,1,31299.71,1
277,20009057,Lampungmeiua,790,France,Male,47,5,78539.84,2,1,1,50230.31,0
278,20022913,Chou,619,Spain,Male,42,9,98635.77,2,1,0,74275.08,0
279,20010534,Etheridge,657,Spain,Female,39,7,178317.6,1,1,1,53412.54,0
280,20007180,Miller,584,Germany,Male,30,1,0.0,2,1,1,75848.22,0
281,20014428,Genovesi,779,Germany,Female,18,8,120094.93,1,1,0,140041.78,0
282,20009534,Fleming,564,France,Female,33,8,163714.52,2,1,0,12368.11,0
283,20022779,Colombo,673,France,Male,41,6,0.0,1,1,0,147913.56,1
284,20001140,Trentino,680,France,Male,58,0,113709.28,1,1,0,25684.93,0
285,20003004,Onodugoadiegbemma,631,France,Male,58,2,160599.06,1,1,0,123587.83,1
286,20024108,Buccho,704,France,Male,38,3,0.0,1,1,1,125823.79,0
287,20014627,Chuang,542,France,Male,25,9,0.0,1,1,0,167376.26,0
288,20018979,Sinclair,493,France,Female,24,5,0.0,1,1,0,14479.29,1
289,20001950,Forbes,570,Germany,Male,36,4,0.0,3,1,0,84321.03,0
290,20008531,Korovin,566,Spain,Male,47,9,86605.5,1,1,0,142548.33,1
291,20005639,Jibunoh,537,France,Male,40,5,0.0,2,0,0,84106.17,0
292,20017007,Chikelu,672,France,Male,18,6,0.0,2,1,1,129050.67,0
293,20017392,Vincent,703,France,Male,21,7,82441.75,2,1,1,179883.04,0
294,20004403,Pagnotto,768,France,Male,40,3,68345.86,1,1,0,39542.0,1
295,20009896,Y?,639,France,Female,34,9,103154.66,1,1,1,161064.29,0
296,20023045,Milani,636,Germany,Male,50,3,0.0,2,1,1,145765.83,0
297,20010292,Lo Duca,457,France,Male,30,3,81733.74,1,1,1,47728.0,0
298,20024859,Taylor,672,France,Female,24,8,142188.2,1,1,0,69227.42,0
299,20010648,Iheatu,712,France,Female,66,7,0.0,1,1,0,170409.45,1
300,20019921,Pearson,648,France,Female,54,8,0.0,2,0,1,38252.25,0
301,20019648,McDonald,626,Germany,Male,24,3,0.0,1,0,1,184118.73,0
302,20009556,Morant,690,Spain,Female,34,4,113317.1,1,1,0,78088.17,1
303,20001220,Mello,504,France,Female,33,3,121389.78,1,0,1,3299.01,1
304,20019116,Docherty,583,Spain,Female,56,2,167983.17,1,1,0,60920.03,0
305,20016547,Nnaife,702,France,Male,56,8,0.0,1,1,0,53130.41,0
306,20004279,Mao,614,Spain,Male,39,1,161814.64,1,0,1,3896.08,0
307,20009132,Gratwick,850,France,Female,50,0,125734.2,1,0,1,139049.24,1
308,20003225,Zetticci,422,France,Female,30,6,135814.7,1,1,0,86350.97,0
309,20008581,Sanderson,552,Germany,Female,41,0,133598.4,1,1,1,72814.31,0
310,20005279,Burgess,561,France,Female,33,3,69608.14,2,0,1,38409.79,0
311,20024315,McClemans,550,Germany,Female,35,9,117152.3,1,0,0,94153.83,1
312,20022694,Johnstone,591,Spain,Female,31,6,118210.42,2,0,1,53512.16,0
313,20001447,Y?an,793,Germany,Female,27,4,0.0,2,1,0,147693.92,0
314,20024488,Mack,668,France,Male,28,0,161064.64,3,1,0,37341.17,0
315,20012331,Abernathy,618,France,Male,45,2,72535.45,2,0,1,103548.25,0
316,20004443,Lombardo,731,Spain,Male,38,4,0.0,2,1,1,83456.67,0
317,20001233,Henderson,621,France,Female,38,10,153040.03,1,1,0,163667.56,0
318,20010056,Hsueh,640,Spain,Female,19,5,122793.96,2,1,1,62256.87,0
319,20014039,Nnaife,390,France,Female,38,8,136186.44,2,1,1,109638.78,0
320,20003898,Leworthy,656,France,Male,20,5,0.0,1,1,1,62703.38,0
321,20005664,Kelly,599,France,Female,46,1,0.0,2,0,1,16717.11,0
322,20004891,Torreggiani,685,France,Female,39,6,172812.72,1,0,1,52759.82,0
323,20021419,Lock,829,France,Female,21,1,116409.55,2,1,1,20555.21,0
324,20002583,Duncan,720,France,Female,55,6,151391.68,2,0,0,126952.5,0
325,20024369,Franklin,620,France,Female,25,3,0.0,1,1,1,10712.82,0
326,20022561,Trevisani,637,Germany,Male,47,8,172463.45,2,0,1,185791.9,0
327,20018560,Johnson,791,France,Male,35,1,151215.34,1,1,0,175161.05,0
328,20019175,Simmons,529,France,Male,34,10,169399.6,2,1,1,80883.82,0
329,20008018,Grigoryeva,778,Germany,Male,29,10,0.0,2,1,1,183575.01,0
330,20003139,Martin,726,France,Female,31,5,0.0,2,1,0,66463.62,0
331,20016539,Sal,644,Spain,Male,30,1,0.0,2,1,1,128590.73,0
332,20012972,Nkemdilim,494,France,Female,35,0,174397.21,1,1,0,165407.96,0
333,20020850,Genovese,674,Spain,Male,18,1,0.0,2,1,0,195638.13,0
334,20003482,Wu,640,France,Female,43,9,0.0,2,1,1,165580.93,0
335,20000500,Keeley,618,France,Male,47,6,0.0,2,1,1,77783.35,0
336,20008038,Rowley,591,Spain,Male,30,3,89994.71,1,1,1,116052.92,0
337,20003140,Wilkinson,695,Spain,Male,30,9,120727.97,2,0,0,42241.54,0
338,20005622,Michael,642,Germany,Female,39,6,160485.16,2,1,1,38308.34,0
339,20021788,Fleetwood-Smith,687,France,Female,43,3,89047.14,1,0,1,166031.08,0
